English,Arabic
late,متأخر
run,تشغيل
don’t,لا
while,في حين
press,الصحافة
close,قريب
night,الليل
real,حقيقية
life,حياة
few,قليل
north,شمال
book,كتاب
carry,حمل
took,استغرق
science,علم
eat,أكل
room,غرفة
friend,صديق
began,بدأ
idea,فكرة
fish,سمك
mountain,الجبل
stop,توقف
once,مرة واحدة
base,قاعدة
hear,سمع
horse,الحصان
cut,قطع
sure,بالتأكيد
watch,راقب
color,لون
face,وجه
wood,الخشب
main,رئيسي
open,مفتوحة
seem,يبدو
together,معا
next,المقبل
white,أبيض
children,الأطفال
begin,بدأ
got,حصلت
walk,سير
example,مثال
ease,سهولة
paper,ورق
group,مجموعة
always,دائما
music,الموسيقى
those,تلك
both,كلا
mark,علامة
often,غالبا
letter,الرسالة
until,حتى
mile,ميل
river,النهر
car,سيارة
feet,قدم
care,الرعاية
second,ثان
enough,بما فيه الكفاية
plain,سهل
girl,فتاة
usual,معتاد
young,الشباب
ready,جاهزة
above,فوق
ever,أبدا
red,أحمر
list,قائمة
though,على الرغم من
feel,إحساس
talk,الحديث
bird,طائر
soon,قريبا
body,هيئة
dog,الكلب
family,عائلة
direct,مباشر
pose,أربك
leave,ترك
song,أغنية
measure,قياس
door,باب
product,نتاج
black,أسود
short,قصير
numeral,الأرقام
class,الفئة
wind,الرياح
question,السؤال
happen,يحدث
complete,كاملة
ship,سفينة
area,منطقة
half,نصف
rock,صخرة
order,النظام
fire,النار
south,الجنوب
problem,مشكلة
piece,قطعة
told,قال
knew,عرف
pass,تمر
since,منذ
top,أعلى
whole,ككل
king,ملك
street,شارع
inch,بوصة
multiply,مضاعفة
nothing,لا شيء
course,بالطبع
stay,إقامة
wheel,عجلة
full,كامل
force,قوة
blue,الأزرق
object,موضوع
decide,تقرر
surface,سطح
deep,عميق
moon,ضوء القمر
island,الجزيرة
foot,القدم
system,نظام
busy,مشغول
test,اختبار
record,سجل
boat,قارب
common,مشترك
gold,الذهب
possible,ممكن
plane,طائرة
stead,بدلا
dry,جاف
wonder,عجب
laugh,الضحك
thousand,ألف
ago,منذ
ran,ركض
check,تحقق
game,لعبة
shape,شكل
equate,مساواة
hot,حار
miss,ملكة جمال
brought,جلبت
heat,حرارة
snow,ثلج
tire,إطار العجلة
bring,جلب
yes,نعم
distant,بعيد
fill,شغل
east,الشرق
paint,الطلاء
language,اللغة
among,بين
unit,وحدة
power,قوة
town,مدينة
fine,غرامة
certain,معين
fly,يطير
fall,سقط
lead,قيادة
cry,صرخة
dark,مظلم
machine,آلة
note,مذكرة
wait,انتظر
plan,خطة
figure,الرقم
star,نجمة
box,صندوق
noun,إسم
field,الحقل
rest,بقية
correct,صحيح
able,قادرة
pound,الجنيه
done,منجز
beauty,الجمال
drive,محرك
stood,وقفت
contain,تحتوي على
front,الجبهة
teach,تعليم
week,أسبوع
final,نهائي
gave,أعطى
green,الأخضر
oh,يا
quick,سريع
develop,تطوير
ocean,المحيط
warm,الحارة
free,حر
minute,دقيقة
strong,قوي
special,خاص
mind,عقل
behind,خلف
clear,واضح
tail,ذيل
produce,إنتاج
fact,حقيقة
space,الفضاء
heard,سمعت
best,أفضل
hour,ساعة
better,أفضل
TRUE,صحيح
during,خلال
hundred,مائة
five,خمسة
remember,تذكر
step,خطوة
early,في وقت مبكر
hold,عقد
west,غرب
ground,أرض
interest,مصلحة
reach,الوصول
fast,بسرعة
verb,الفعل
sing,الغناء
listen,استمع
six,ستة
table,الجدول
travel,السفر
less,أقل
morning,الصباح
ten,عشرة
simple,بسيطة
several,عدة
vowel,حرف لين
toward,نحو
war,حرب
lay,وضع
against,ضد
pattern,نمط
slow,بطيئة
center,مركز
love,الحب
person,شخص
money,المال
serve,خدمة
appear,تظهر
road,طريق
map,خريطة
rain,مطر
rule,حكم
govern,الحكم
pull,سحب
cold,بارد
notice,إشعار
voice,صوت
energy,الطاقة
hunt,مطاردة
probable,محتمل
bed,قاع
brother,شقيق
egg,البيض
ride,ركوب
cell,خلية
believe,اعتقد
perhaps,ربما
pick,اختيار
sudden,مفاجئ
count,عد
square,مربع
reason,سبب
length,طول
represent,تمثيل
art,فن
subject,الموضوع
region,منطقة
size,حجم
vary,تختلف
settle,حل
speak,الكلام
weight,الوزن
general,عام
ice,الجليد
matter,مسألة
circle,دائرة
pair,زوج
include,تضمن
divide,الفجوة
syllable,مقطع لفظي
felt,شعر
grand,الكبرى
ball,كرة
yet,بعد
wave,موجة
drop,إسقاط
heart,قلب
am,صباحا
present,الحاضر
heavy,ثقيلة
dance,رقص
engine,محرك
position,موقف
arm,الذراع
wide,واسع
sail,الشراع
material,مادة
fraction,جزء
forest,الغابات
sit,الجلوس
race,سباق
window,نافذة
store,متجر
summer,الصيف
train,قطار
sleep,نوم
prove,إثبات
lone,وحيد
leg,الساق
exercise,ممارسة
wall,جدار
catch,مزلاج
mount,جبل
wish,رغب
sky,سماء
board,مجلس الإدارة
joy,الفرح
winter,شتاء
sat,السبت
written,مكتوبة
wild,بري
instrument,أداة
kept,أبقى
glass,زجاج
grass,العشب
cow,بقرة
job,العمل
edge,حافة
sign,علامة
visit,زيارة
past,الماضي
soft,لينة
fun,مرح
bright,مشرق
gas,الغاز
weather,الطقس
month,شهر
million,مليون
bear,تحمل
finish,نهاية
happy,سعيدة
hope,نأمل
flower,زهرة
clothe,كسا
strange,غريب
gone,ذهب
trade,تجارة
melody,لحن
trip,رحلة
office,مكتب
receive,تلقي
row,الصف
mouth,فم
exact,بالضبط
symbol,رمز
die,مات
least,الأقل
trouble,مشكلة
shout,صيحة
except,إلا
wrote,كتب
seed,بذرة
tone,نغمة
join,انضمام
suggest,اقترح
clean,نظيف
break,استراحة
lady,سيدة
yard,ساحة
rise,الارتفاع
bad,سيئة
blow,ضربة
oil,زيت
blood,الدم
touch,لمس
grew,نما
cent,المائة
mix,مزيج
team,فريق
wire,سلك
cost,التكلفة
lost,فقدت
brown,أسمر
wear,ارتداء
garden,حديقة
equal,متساو
sent,أرسلت
choose,اختيار
fell,سقط
fit,تناسب
flow,تدفق
fair,عادل
bank,البنك
collect,جمع
save,حفظ
control,السيطرة
decimal,العشري
ear,إذن
else,آخر
quite,تماما
broke,حطم
case,حالة
middle,وسط
kill,قتل
son,ابن
lake,بحيرة
moment,لحظة
scale,على نطاق و
loud,بصوت عال
spring,الربيع
observe,رصد
child,طفل
straight,مباشرة
consonant,متوافق
nation,الأمة
dictionary,قاموس
milk,حليب
speed,السرعة
method,طريقة
organ,عضو
pay,دفع
age,العمر
section,القسم
dress,فستان
cloud,سحابة
surprise,مفاجأة
quiet,هادئ
stone,حجر
tiny,صغير
climb,تسلق
cool,بارد
design,تصميم
poor,فقير
lot,الكثير
experiment,تجربة
bottom,أسفل
key,مفتاح
iron,حديد
single,احد
stick,عصا
flat,شقة
twenty,عشرون
skin,الجلد
smile,الابتسامة
crease,تجعد
hole,حفرة
jump,القفزة
baby,طفل
eight,ثمانية
village,قرية
meet,تلبية
root,الجذر
buy,شراء
raise,رفع
solve,حل
metal,المعادن
whether,سواء
push,دفع
seven,سبعة
paragraph,فقرة
third,الثالث
shall,يجب
held,عقدت
hair,الشعر
describe,وصف
cook,طبخ
floor,الطابق
either,كل
result,نتيجة
burn,حرق
hill,التل
safe,آمنة
cat,القط
century,القرن
consider,النظر
type,نوع
law,القانون
bit,لقمة
coast,الساحل
copy,نسخة
phrase,العبارة
silent,الصمت
tall,طويل
sand,رمل
soil,التربة
roll,لفة
temperature,درجة الحرارة
finger,إصبع
industry,صناعة
value,قيمة
fight,المعركة
lie,كذبة
beat,فوز
excite,أثار
natural,طبيعي
view,رأي
sense,المعنى
capital,العاصمة
won’t,سوف لا
chair,كرسي
danger,خطر
fruit,الفاكهة
rich,غني
thick,سميك
soldier,جندي
process,عملية
operate,العمل
practice,ممارسة
separate,منفصلة
difficult,الصعب
doctor,الطبيب
please,الرجاء
protect,حماية
noon,ظهرا
crop,محصول
modern,الحديث
element,عنصر
hit,ضرب
student,طالب
corner,ركن
party,حزب
supply,تزويد
whose,الذي
locate,حدد
ring,عصابة
character,حرف
insect,الحشرة
caught,اشتعلت
period,فترة
indicate,تشير
radio,راديو
spoke,وتحدث
atom,ذرة
human,بشري
history,التاريخ
effect,تأثير
electric,كهربائي
expect,توقع
bone,العظام
rail,سكة حديدية
imagine,تخيل
provide,توفير
agree,توافق
thus,وبالتالي
gentle,لطيف
woman,امرأة
captain,نقيب
guess,تخمين
necessary,الضرورة
sharp,حاد
wing,جناح
create,خلق
neighbor,الجيران
wash,غسل
bat,خفاش
rather,بالأحرى
crowd,الحشد
corn,الذرة
compare,مقارنة
poem,قصيدة
string,سلسلة
bell,جرس
depend,تعتمد
meat,اللحوم
rub,فرك
tube,أنبوب
famous,الشهيرة
dollar,الدولار
stream,تيار
fear,خوف
sight,مشهد
thin,رقيق
triangle,مثلث
planet,كوكب
hurry,عجل
chief,رئيس
colony,مستعمرة
clock,على مدار الساعة
mine,منجم
tie,ربطة عنق
enter,دخول
major,الرئيسية
fresh,جديدة
search,البحث
send,إرسال
yellow,الأصفر
gun,بندقية
allow,السماح
print,طباعة
dead,ميت
spot,بقعة
desert,صحراء
suit,دعوى
current,التيار
lift,رفع
rose,ارتفع
arrive,وصول
master,سيد
track,المسار
parent,الأم
shore,الشاطئ
division,تقسيم
sheet,ورقة
substance,مادة
favor,صالح
connect,اتصال
post,آخر
spend,أنفق
chord,وتر
fat,دهن
glad,سعيد
original,الأصلي
share,حصة
station,محطة
dad,أب
bread,الخبز
charge,تهمة
proper,السليم
bar,شريط
offer,العرض
segment,قطاع
slave,الرقيق
duck,بط
instant,لحظة
market,سوق
degree,درجة
populate,أهل
chick,كتكوت
dear,عزيزتي
enemy,العدو
reply,الرد
drink,شراب
occur,تحدث
support,دعم
speech,خطاب
nature,الطبيعة
range,مجموعة
steam,البخار
motion,الحركة
path,مسار
liquid,السائل
log,تسجيل
meant,مقصود
quotient,حاصل
teeth,أسنان
shell,قذيفة
neck,الرقبة
oxygen,الأكسجين
sugar,السكر
death,الموت
pretty,جميل
skill,مهارة
women,النساء
season,الموسم
solution,حل
magnet,مغناطيس
silver,فضة
thank,شكرا
branch,فرع
match,مباراة
suffix,لاحقة
especially,خاصة
fig,تين
afraid,خائف
huge,ضخم
sister,شقيقة
steel,الصلب
discuss,بحث
forward,إلى الأمام
similar,مماثل
guide,توجيه
experience,التجربة
score,النتيجة
apple,تفاحة
bought,اشترى
led,أدى
pitch,رمية
coat,معطف
mass,كتلة
card,بطاقة
band,فرقة
rope,حبل
slip,انزلاق
win,الفوز
dream,حلم
evening,مساء
condition,حالة
feed,علف
tool,أداة
total,الكل
basic,الأساسية
smell,رائحة
valley,الوادي
nor,ولا
double,ضعف
seat,مقعد
continue,تواصل
block,كتلة
chart,جدول
hat,قبعة
sell,بيع
success,نجاح
company,شركة
subtract,طرح
event,حدث
particular,خاصة
deal,صفقة
swim,السباحة
term,مصطلح
opposite,العكس
wife,زوجة
shoe,حذاء
shoulder,الكتف
spread,انتشار
arrange,رتب
camp,مخيم
invent,اختراع
cotton,قطن
born,الولادة
determine,حدد
quart,رابعا
nine,تسعة
truck,شاحنة
noise,الضوضاء
level,مستوى
chance,فرصة
gather,جمع
shop,متجر
stretch,امتداد
throw,رمي
shine,تألق
property,الملكية
column,عمود
molecule,جزيء
select,اختر
wrong,خاطئ
gray,رمادي
repeat,كرر
require,تتطلب
broad,واسع
prepare,إعداد
salt,ملح
nose,الأنف
plural,الجمع
anger,غضب
claim,مطالبة
continent,القارة
